Sample,Rep,Date,Time,Month,genotype,specific,initial pH,titrated ul 6.5,titrated ul 7.0,H+ uq/g
66,1,42957,D1PM,17-Aug,61,61.1.3.2016,5.96,926,2026,54.75675676
66,2,42957,D1PM,17-Aug,61,61.1.3.2016,5.77,1100,2200,55.97964377
66,3,42957,D1PM,17-Aug,61,61.1.3.2016,5.52,,2400,76.31160572
67,1,42957,D1PM,17-Aug,61,61.2.0.2015,4.74,3600,4520,100.8928571
67,2,42957,D1PM,17-Aug,61,61.2.0.2015,6.18,800,2800,58.27263267
67,3,42957,D1PM,17-Aug,61,61.2.0.2015,5.17,11020,22420,478.0383795
68,1,42957,D1PM,17-Aug,70,70.1.2.2016,4.58,4100,4850,113.7162954
68,2,42957,D1PM,17-Aug,70,70.1.2.2016,5.79,1450,3075,91.65424739
68,3,42957,D1PM,17-Aug,70,70.1.2.2016,5.75,2300,7800,184.6153846
69,1,42957,D1PM,17-Aug,55,55.2.0.2015,4.54,3600,4600,128.1337047
69,2,42957,D1PM,17-Aug,55,55.2.0.2015,6.03,1300,2850,63.82978723
69,3,42957,D1PM,17-Aug,55,55.2.0.2015,5.75,2600,7600,155.5783009
70,1,42957,D1PM,17-Aug,70,70.1.3.2016,5.88,2040,3640,72.07920792
70,2,42957,D1PM,17-Aug,70,70.1.3.2016,5.8,3100,13300,315.9144893
70,3,42957,D1PM,17-Aug,70,70.1.3.2016,5.53,2000,6900,121.4788732
71,1,42957,D1PM,17-Aug,70,70.1.0.2015,5.46,4400,15400,643.006263
71,2,42957,D1PM,17-Aug,70,70.1.0.2015,6.23,695,1485,20.79831933
71,3,42957,D1PM,17-Aug,70,70.1.0.2015,6.38,230,990,15.28957529
72,1,42957,D1PM,17-Aug,51,51.1.2.2015,6.36,195,890,22.76214834
72,2,42957,D1PM,17-Aug,51,51.1.2.2015,5.55,1595,2295,56.66666667
72,3,42957,D1PM,17-Aug,51,51.1.2.2015,6.03,1400,4640,126.9493844
73,1,42957,D1PM,17-Aug,51,51.1.3.2015,6.41,150,900,21.92448234
73,2,42957,D1PM,17-Aug,51,51.1.3.2015,6.45,,,
73,3,42957,D1PM,17-Aug,51,51.1.3.2015,6.39,210,1010,18.18181818
74,1,42957,D1PM,17-Aug,61,61.2.2.2016,6.25,375,1125,20.7948244
74,2,42957,D1PM,17-Aug,61,61.2.2.2016,6.42,,,
74,3,42957,D1PM,17-Aug,61,61.2.2.2016,6.4,100,600,24.3902439
75,1,42957,D1PM,17-Aug,55,55.2.1.2016,6.46,20,820,17.92349727
75,2,42957,D1PM,17-Aug,55,55.2.1.2016,6.63,,,
75,3,42957,D1PM,17-Aug,55,55.2.1.2016,6.42,120,880,16.47940075
76,1,42957,D1PM,17-Aug,55,55.2.2.2016,6.28,320,995,19.00668577
76,2,42957,D1PM,17-Aug,55,55.2.2.2016,6.51,,,
76,3,42957,D1PM,17-Aug,55,55.2.2.2016,5.32,1800,2415,52.55712731
77,1,42957,D1PM,17-Aug,51,51.2.2.2015,6.36,185,880,25.69343066
77,2,42957,D1PM,17-Aug,51,51.2.2.2015,6.35,235,950,24.51612903
77,3,42957,D1PM,17-Aug,51,51.2.2.2015,6.4,170,880,21.46341463
78,1,42957,D1PM,17-Aug,51,51.1.0.2014,6.5,,800,22.16066482
78,2,42957,D1PM,17-Aug,51,51.1.0.2014,6.45,120,920,25.8790436
78,3,42957,D1PM,17-Aug,51,51.1.0.2014,6.43,130,835,20.84893883
66,1,42958,D1AM,17-Aug,61,61.1.3.2016,5.19,,,0
66,2,42958,D1AM,17-Aug,61,61.1.3.2016,5.38,2250,2662,54.54918033
66,3,42958,D1AM,17-Aug,61,61.1.3.2016,5.07,2700,3352,76.00907029
67,1,42958,D1AM,17-Aug,61,61.2.0.2015,5.09,4308,5172,104.9087221
67,2,42958,D1AM,17-Aug,61,61.2.0.2015,4.94,4410,5221,99.35299715
67,3,42958,D1AM,17-Aug,61,61.2.0.2015,4.93,4320,5209,90.59130435
68,1,42958,D1AM,17-Aug,70,70.1.2.2016,3.93,8166,8931,203.6716078
68,2,42958,D1AM,17-Aug,70,70.1.2.2016,4.8,4600,5308,128.3675937
68,3,42958,D1AM,17-Aug,70,70.1.2.2016,5.04,4650,5506,136.7950311
69,1,42958,D1AM,17-Aug,55,55.2.0.2015,4.3,6715,7740,128.5714286
69,2,42958,D1AM,17-Aug,55,55.2.0.2015,4.73,5394,6395,74.88290398
69,3,42958,D1AM,17-Aug,55,55.2.0.2015,4.51,7385,8610,173.5887097
70,1,42958,D1AM,17-Aug,70,70.1.3.2016,4.65,6000,6550,175.1336898
70,2,42958,D1AM,17-Aug,70,70.1.3.2016,,,,
70,3,42958,D1AM,17-Aug,70,70.1.3.2016,,,,
71,1,42958,D1AM,17-Aug,70,70.1.0.2015,5.13,6655,11420,180.9825674
71,2,42958,D1AM,17-Aug,70,70.1.0.2015,5.12,4510,7925,244.9768161
71,3,42958,D1AM,17-Aug,70,70.1.0.2015,,,,
72,1,42958,D1AM,17-Aug,51,51.1.2.2015,3.75,15805,21170,491.7537747
72,2,42958,D1AM,17-Aug,51,51.1.2.2015,3.56,19210,,
72,3,42958,D1AM,17-Aug,51,51.1.2.2015,4.86,9200,15600,285.452882
73,1,42958,D1AM,17-Aug,51,51.1.3.2015,3.93,25000,37000,915.8415842
73,2,42958,D1AM,17-Aug,51,51.1.3.2015,4.45,5500,6050,146.4891041
73,3,42958,D1AM,17-Aug,51,51.1.3.2015,4.15,11000,13000,258.9641434
74,1,42958,D1AM,17-Aug,61,61.2.2.2016,5.13,2595,3295,87.86666667
74,2,42958,D1AM,17-Aug,61,61.2.2.2016,5.22,2455,3180,80.81321474
74,3,42958,D1AM,17-Aug,61,61.2.2.2016,4.98,2588,,
75,1,42958,D1AM,17-Aug,55,55.2.1.2016,4.73,4585,5390,147.6712329
75,2,42958,D1AM,17-Aug,55,55.2.1.2016,4.65,5900,6560,142.91939
75,3,42958,D1AM,17-Aug,55,55.2.1.2016,5.07,6150,8157,143.2309043
76,1,42958,D1AM,17-Aug,55,55.2.2.2016,5,3195,3999,90.68027211
76,2,42958,D1AM,17-Aug,55,55.2.2.2016,4.69,3700,4100,83.50305499
76,3,42958,D1AM,17-Aug,55,55.2.2.2016,,,,
77,1,42958,D1AM,17-Aug,51,51.2.2.2015,4.81,6400,7900,180.9851088
77,2,42958,D1AM,17-Aug,51,51.2.2.2015,4.27,8335,9510,241.9847328
77,3,42958,D1AM,17-Aug,51,51.2.2.2015,4.5,6205,7235,262.1376812
78,1,42958,D1AM,17-Aug,51,51.1.0.2014,4.8,,3805,197.1502591
78,2,42958,D1AM,17-Aug,51,51.1.0.2014,4.67,5565,6760,192.5925926
78,3,42958,D1AM,17-Aug,51,51.1.0.2014,4.68,7025,8425,181.9654428
51,1,42824,D1PM,April2-2017,16,16.X.7.2016,6.02,800,1250,32.67973856
51,2,42824,D1PM,April2-2017,16,16.X.7.2016,6,750,1350,34.48275862
51,3,42824,D1PM,April2-2017,16,16.X.7.2016,6.1,700,1600,31.84079602
52,1,42824,D1PM,April2-2017,16,16.X.6.2016,6.17,700,1600,41.39715395
52,2,42824,D1PM,April2-2017,16,16.X.6.2016,6.12,750,1450,35.49571603
52,3,42824,D1PM,April2-2017,16,16.X.6.2016,6.18,800,1500,31.64556962
53,1,42824,D1PM,April2-2017,56,56.1.2.2016,6.59,,350,8.95140665
53,2,42824,D1PM,April2-2017,56,56.1.2.2016,6.38,275,675,24.06417112
53,3,42824,D1PM,April2-2017,56,56.1.2.2016,,,,
54,1,42824,D1PM,April2-2017,12,12.2.1.2015,6.42,150,450,14.1955836
54,2,42824,D1PM,April2-2017,12,12.2.1.2015,6.53,,500,13.49527665
54,3,42824,D1PM,April2-2017,12,12.2.1.2015,6.28,400,675,18.54395604
55,1,42824,D1PM,April2-2017,12,12.2.1.2015.2,6.5,,600,18.63354037
55,2,42824,D1PM,April2-2017,12,12.2.1.2015.2,6.41,100,750,28.24858757
55,3,42824,D1PM,April2-2017,12,12.2.1.2015.2,6.32,250,950,32.25806452
56,1,42824,D1PM,April2-2017,56,56.2.1.2016,6.14,400,980,26.70299728
56,2,42824,D1PM,April2-2017,56,56.2.1.2016,6.18,500,1050,29.12621359
56,3,42824,D1PM,April2-2017,56,56.2.1.2016,,,,
57,1,42824,D1PM,April2-2017,52,52.1.2.2015,6.48,250,880,28.38709677
57,2,42824,D1PM,April2-2017,52,52.1.2.2015,6.36,400,1220,36.04135894
57,3,42824,D1PM,April2-2017,52,52.1.2.2015,6.3,850,2300,69.80273141
58,1,42824,D1PM,April2-2017,12,12.2.3.2015,6.03,1200,3200,43.71584699
58,2,42824,D1PM,April2-2017,12,12.2.3.2015,6.08,1500,3000,45.69687738
58,3,42824,D1PM,April2-2017,12,12.2.3.2015,6.1,1550,3050,45.48844146
59,1,42824,D1PM,April2-2017,56,56.2.0.2015,6.28,1000,2000,35.77817531
59,2,42824,D1PM,April2-2017,56,56.2.0.2015,6.24,1000,2500,60.0240096
59,3,42824,D1PM,April2-2017,56,56.2.0.2015,6.28,1500,3000,47.58128469
60,1,42824,D1PM,April2-2017,52,52.1.3.2015,6.14,1000,2800,76.29427793
60,2,42824,D1PM,April2-2017,52,52.1.3.2015,6.18,950,2000,57.06134094
60,3,42824,D1PM,April2-2017,52,52.1.3.2015,6.32,1250,2600,78.90743551
61,1,42824,D1PM,April2-2017,52,52.1.0.2014,6.52,,1800,43.32129964
61,2,42824,D1PM,April2-2017,52,52.1.0.2014,6.41,200,1200,37.26708075
61,3,42824,D1PM,April2-2017,52,52.1.0.2014,6.41,400,1200,41.73913043
62,1,42824,D1PM,April2-2017,16,16.X.1.2016,6.24,1000,2250,38.10330229
62,2,42824,D1PM,April2-2017,16,16.X.1.2016,6.14,1200,1800,46.39175258
62,3,42824,D1PM,April2-2017,16,16.X.1.2016,6.2,850,2050,42.44306418
63,1,42824,D1PM,April2-2017,56,56.1.0.2015,6.23,900,2200,46.90831557
63,2,42824,D1PM,April2-2017,56,56.1.0.2015,6.18,1000,2000,38.27751196
63,3,42824,D1PM,April2-2017,56,56.1.0.2015,6.2,600,1800,37.22854188
64,1,42824,D1PM,April2-2017,16,16.X.2.2016,6.14,850,2000,63.49206349
64,2,42824,D1PM,April2-2017,16,16.X.2.2016,6.2,650,2400,62.09573092
64,3,42824,D1PM,April2-2017,16,16.X.2.2016,6.18,800,2250,64.84149856
65,1,42824,D1PM,April2-2017,12,12.1.5.2016,6.22,880,2300,56.72009864
65,2,42824,D1PM,April2-2017,12,12.1.5.2016,6.15,950,2480,62.46851385
51,1,42824,D1AM,April2-2017,16,16.X.7.2016,5.15,4500,6300,169.1275168
51,2,42824,D1AM,April2-2017,16,16.X.7.2016,5.12,4800,6400,153.1100478
51,3,42824,D1AM,April2-2017,16,16.X.7.2016,5.12,4750,6000,165.2892562
52,1,42824,D1AM,April2-2017,16,16.X.6.2016,5.11,6200,7800,186.1575179
52,2,42824,D1AM,April2-2017,16,16.X.6.2016,5.18,5000,7250,207.7363897
52,3,42824,D1AM,April2-2017,16,16.X.6.2016,5.17,4900,6400,193.6459909
53,1,42824,D1AM,April2-2017,56,56.1.2.2016,5.04,6400,8000,184.7575058
53,2,42824,D1AM,April2-2017,56,56.1.2.2016,5.03,6600,8200,189.5953757
53,3,42824,D1AM,April2-2017,56,56.1.2.2016,,,,
54,1,42824,D1AM,April2-2017,12,12.2.1.2015,5.26,5600,7800,207.4468085
54,2,42824,D1AM,April2-2017,12,12.2.1.2015,5.24,5500,8000,130.9328969
54,3,42824,D1AM,April2-2017,12,12.2.1.2015,5.3,5000,7300,137.8659112
55,1,42824,D1AM,April2-2017,12,12.2.1.2015.2,5.25,5000,6400,165.374677
55,2,42824,D1AM,April2-2017,12,12.2.1.2015.2,5.23,4800,6500,131.9796954
55,3,42824,D1AM,April2-2017,12,12.2.1.2015.2,5.26,5800,8000,154.8886738
56,1,42824,D1AM,April2-2017,56,56.2.1.2016,5.14,7200,10200,199.21875
56,2,42824,D1AM,April2-2017,56,56.2.1.2016,5.15,7600,10400,227.3224044
56,3,42824,D1AM,April2-2017,56,56.2.1.2016,,,,
57,1,42824,D1AM,April2-2017,52,52.1.2.2015,5.14,5800,7600,205.9620596
57,2,42824,D1AM,April2-2017,52,52.1.2.2015,5.15,6000,8800,236.8775236
57,3,42824,D1AM,April2-2017,52,52.1.2.2015,5.2,7000,8500,270.7006369
58,1,42824,D1AM,April2-2017,12,12.2.3.2015,5.13,7200,8000,225.3521127
58,2,42824,D1AM,April2-2017,12,12.2.3.2015,5.22,6500,7580,580.8429119
58,3,42824,D1AM,April2-2017,12,12.2.3.2015,5.1,5800,7200,115.3846154
59,1,42824,D1AM,April2-2017,56,56.2.0.2015,5.24,6800,8000,168.0672269
59,2,42824,D1AM,April2-2017,56,56.2.0.2015,5.23,7400,9800,238.1530984
59,3,42824,D1AM,April2-2017,56,56.2.0.2015,5.23,7000,8500,142.021721
60,1,42824,D1AM,April2-2017,52,52.1.3.2015,5.18,8000,10000,204.2900919
60,2,42824,D1AM,April2-2017,52,52.1.3.2015,5.12,5800,7950,161.5853659
60,3,42824,D1AM,April2-2017,52,52.1.3.2015,5.25,6900,7800,169.197397
61,1,42824,D1AM,April2-2017,52,52.1.0.2014,5.28,7500,11000,260.9727165
61,2,42824,D1AM,April2-2017,52,52.1.0.2014,5.24,7250,10500,234.375
61,3,42824,D1AM,April2-2017,52,52.1.0.2014,5.23,8000,12000,214.2857143
62,1,42824,D1AM,April2-2017,16,16.X.1.2016,4.99,9000,11000,327.3809524
62,2,42824,D1AM,April2-2017,16,16.X.1.2016,5.21,7800,10000,214.1327623
62,3,42824,D1AM,April2-2017,16,16.X.1.2016,5.18,8550,11500,219.047619
63,1,42824,D1AM,April2-2017,56,56.1.0.2015,5,8000,12000,408.1632653
63,2,42824,D1AM,April2-2017,56,56.1.0.2015,5.19,7800,9300,258.3333333
63,3,42824,D1AM,April2-2017,56,56.1.0.2015,4.91,7500,8700,227.4509804
64,1,42824,D1AM,April2-2017,16,16.X.2.2016,5.03,8200,10000,202.8397566
64,2,42824,D1AM,April2-2017,16,16.X.2.2016,5.06,8000,9800,181.1460259
64,3,42824,D1AM,April2-2017,16,16.X.2.2016,5.09,8350,9500,167.5485009
65,1,42824,D1AM,April2-2017,12,12.1.5.2016,5.14,7900,9000,211.5158637
65,2,42824,D1AM,April2-2017,12,12.1.5.2016,5.24,7500,8800,275.862069
35,1,42824,D1PM,17-Apr,53,53.2.2.2105,6.18,225,550,24.60850112
35,2,42824,D1PM,17-Apr,53,53.2.2.2105,6.33,175,525,16.64025357
35,3,42824,D1PM,17-Apr,53,53.2.2.2105,6.22,250,625,19.37984496
36,1,42824,D1PM,17-Apr,36,36.1.2.2016,,,,
36,2,42824,D1PM,17-Apr,36,36.1.2.2016,,,,
36,3,42824,D1PM,17-Apr,36,36.1.2.2016,,,,
37,1,42824,D1PM,17-Apr,48,48.2.3.2015,6.21,300,775,20.31454784
37,2,42824,D1PM,17-Apr,48,48.2.3.2015,6.25,350,880,20.25316456
37,3,42824,D1PM,17-Apr,48,48.2.3.2015,6.02,575,1055,27.36705577
38,1,42824,D1PM,17-Apr,36,36.1.1.2016,6.03,475,875,34.58498024
38,2,42824,D1PM,17-Apr,36,36.1.1.2016,6.01,500,900,33.27171904
38,3,42824,D1PM,17-Apr,36,36.1.1.2016,6.07,400,800,37.64705882
39,1,42824,D1PM,17-Apr,48,48.1.1.2015,6.21,450,1050,26.68360864
39,2,42824,D1PM,17-Apr,48,48.1.1.2015,6.09,600,800,21.39037433
39,3,42824,D1PM,17-Apr,48,48.1.1.2015,6.25,275,560,18.76046901
40,1,42824,D1PM,17-Apr,37,37.X.6.2015,6.21,400,850,23.54570637
40,2,42824,D1PM,17-Apr,37,37.X.6.2015,6.06,500,900,21.53110048
40,3,42824,D1PM,17-Apr,37,37.X.6.2015,6.09,680,1000,29.89536622
41,1,42824,D1PM,17-Apr,36,36.1.5.2016,6.2,550,980,29.08011869
41,2,42824,D1PM,17-Apr,36,36.1.5.2016,6.14,700,1050,28.84615385
41,3,42824,D1PM,17-Apr,36,36.1.5.2016,6.16,420,700,17.28395062
42,1,42824,D1PM,17-Apr,36,36.1.6.2016,,,,
42,2,42824,D1PM,17-Apr,36,36.1.6.2016,,,,
42,3,42824,D1PM,17-Apr,36,36.1.6.2016,,,,
43,1,42824,D1PM,17-Apr,53,53.2.5.2015,6.08,500,700,22.4
43,2,42824,D1PM,17-Apr,53,53.2.5.2015,6.07,475,620,21.9858156
43,3,42824,D1PM,17-Apr,53,53.2.5.2015,6.14,420,920,31.61512027
44,1,42824,D1PM,17-Apr,53,53.2.1.2015,6.15,450,1050,31.81818182
44,2,42824,D1PM,17-Apr,53,53.2.1.2015,6.07,500,930,30.74380165
44,3,42824,D1PM,17-Apr,53,53.2.1.2015,6.08,495,1020,30.95599393
45,1,42824,D1PM,17-Apr,37,37.X.1.2015,6.2,500,1200,30.92783505
45,2,42824,D1PM,17-Apr,37,37.X.1.2015,6.13,595,1295,35.43091655
45,3,42824,D1PM,17-Apr,37,37.X.1.2015,6.26,500,1300,30.51643192
46,1,42824,D1PM,17-Apr,48,48.2.0.2014,6.09,550,1050,31.77004539
46,2,42824,D1PM,17-Apr,48,48.2.0.2014,6.16,500,1100,30.21978022
46,3,42824,D1PM,17-Apr,48,48.2.0.2014,6.18,600,1200,30.57324841
47,1,42824,D1PM,17-Apr,37,37.X.7.2015,6.1,620,1370,38.64598025
47,2,42824,D1PM,17-Apr,37,37.X.7.2015,6.09,800,1675,36.81318681
47,3,42824,D1PM,17-Apr,37,37.X.7.2015,6.06,500,1050,48.16513761
48,1,42824,D1PM,17-Apr,53,53.2.3.2015,6.2,375,1000,29.49852507
48,2,42824,D1PM,17-Apr,53,53.2.3.2015,6.2,420,1050,29.12621359
48,3,42824,D1PM,17-Apr,53,53.2.3.2015,6.16,400,820,28.87323944
49,1,42824,D1PM,17-Apr,37,37.X.8.2015,6.12,650,1445,39.97233748
49,2,42824,D1PM,17-Apr,37,37.X.8.2015,6.15,400,1000,33.33333333
49,3,42824,D1PM,17-Apr,37,37.X.8.2015,6.2,700,1700,31.0786106
50,1,42824,D1PM,17-Apr,48,48.2.1.2015,6.11,520,1170,38.80597015
50,2,42824,D1PM,17-Apr,48,48.2.1.2015,5.94,900,1600,43.77564979
50,3,42824,D1PM,17-Apr,48,48.2.1.2015,6.11,500,980,30.3875969
35,1,42824,D1AM,17-Apr,53,53.2.2.2105,5.15,4500,6100,190.3276131
35,2,42824,D1AM,17-Apr,53,53.2.2.2105,5.04,4100,5600,143.2225064
35,3,42824,D1AM,17-Apr,53,53.2.2.2105,4.99,4000,5400,129.9638989
36,1,42824,D1AM,17-Apr,36,36.1.2.2016,,,,
36,2,42824,D1AM,17-Apr,36,36.1.2.2016,,,,
36,3,42824,D1AM,17-Apr,36,36.1.2.2016,,,,
37,1,42824,D1AM,17-Apr,48,48.2.3.2015,5.22,4200,6200,181.2865497
37,2,42824,D1AM,17-Apr,48,48.2.3.2015,5.21,4250,6000,118.8118812
37,3,42824,D1AM,17-Apr,48,48.2.3.2015,4.96,4000,6350,129.3279022
38,1,42824,D1AM,17-Apr,36,36.1.1.2016,5.06,4800,6000,128.8936627
38,2,42824,D1AM,17-Apr,36,36.1.1.2016,5.13,4200,5400,127.6595745
38,3,42824,D1AM,17-Apr,36,36.1.1.2016,5.11,4200,6280,168.590604
39,1,42824,D1AM,17-Apr,48,48.1.1.2015,5.11,4500,5500,142.3027167
39,2,42824,D1AM,17-Apr,48,48.1.1.2015,5.26,3090,4690,159.5238095
39,3,42824,D1AM,17-Apr,48,48.1.1.2015,5.27,4475,7105,181.4814815
40,1,42824,D1AM,17-Apr,37,37.X.6.2015,5.19,5100,7650,223.3576642
40,2,42824,D1AM,17-Apr,37,37.X.6.2015,5.04,10100,13800,247.311828
40,3,42824,D1AM,17-Apr,37,37.X.6.2015,5.13,6300,7700,164.0042599
41,1,42824,D1AM,17-Apr,36,36.1.5.2016,5.25,6100,8700,215.0803461
41,2,42824,D1AM,17-Apr,36,36.1.5.2016,5.23,6300,9100,224.4143033
41,3,42824,D1AM,17-Apr,36,36.1.5.2016,5.23,4600,5920,154.1666667
42,1,42824,D1AM,17-Apr,36,36.1.6.2016,,,,
42,2,42824,D1AM,17-Apr,36,36.1.6.2016,,,,
42,3,42824,D1AM,17-Apr,36,36.1.6.2016,,,,
43,1,42824,D1AM,17-Apr,53,53.2.5.2015,5.13,5300,6700,208.7227414
43,2,42824,D1AM,17-Apr,53,53.2.5.2015,5.12,5500,8000,256.8218299
43,3,42824,D1AM,17-Apr,53,53.2.5.2015,5.03,7000,11400,339.7913562
44,1,42824,D1AM,17-Apr,53,53.2.1.2015,4.97,7000,11250,333.3333333
44,2,42824,D1AM,17-Apr,53,53.2.1.2015,5.02,8200,12250,332.8804348
44,3,42824,D1AM,17-Apr,53,53.2.1.2015,4.97,6800,11200,365.4159869
45,1,42824,D1AM,17-Apr,37,37.X.1.2015,5.25,6200,10700,350.2454992
45,2,42824,D1AM,17-Apr,37,37.X.1.2015,5.26,4800,8800,337.164751
45,3,42824,D1AM,17-Apr,37,37.X.1.2015,5.21,2550,3050,112.1323529
