species,sample,simple,slide,thickum,ad.cell.area,ab.cell.area,IAS,slideID,set,length 1,#cells1,length cell,propcell1,length 2,#cells2,length cell,propcell2
yg,13.1.2.2016,13,1,616.0756667,842.1438,848.4032,0.107413442,slide1_10x.1,Y2019,575.059,17,558.891,0.971884624,583.636,15,530.318,0.908645114
yg,13.1.2.2016,13,1,591.0556667,853.4518,873.8592,0.022353797,slide1_10x.2,Y2019,541.62,14,452.373,0.835222111,518.71,12,424.836,0.819024118
yg,45.2.4.2015,45,10,641.116,1013.8166,726.4418,0.162113501,slide10_10x.1,Y2019,598.365,13,467.535,0.78135419,610.563,15,541.737,0.887274532
yg,45.2.4.2015,45,10,447.341,1051.2292,517.7564,0.112507734,slide10_10x.2,Y2019,402.55,10,296.41,0.736330891,435.874,11,293.015,0.672247026
yg,45.1.1.2015,45,11,591.7543333,683.1116,537.664,0.120943229,slide11_10x.1,Y2019,558.008,11,403.435,0.722991427,548.527,16,527.997,0.96257249
yg,45.1.1.2015,45,11,687.2366667,981.7496,753.3226,0.074115266,slide11_10x.2,Y2019,643.134,17,613.012,0.953163726,638.889,13,515.302,0.806559512
yg,43.2.3.2105,43,13,541.0186667,1168.885,765.5526,0.11623058,slide13_10x.1,Y2019,516.778,11,487.983,0.944279749,499.571,12,426.376,0.85348429
yg,43.2.3.2105,43,13,759.8926667,1050.5604,741.0236,0.101312531,slide13_10x.2,Y2019,697.323,18,619.538,0.88845198,714.861,19,636.669,0.890619295
yg,43.2.4.2015,43,14,699.509,976.3696,639.5158,0.200626955,slide14_10x.1,Y2019,666.85,15,545.85,0.818549899,658.865,13,440.656,0.668810758
yg,43.2.4.2015,43,14,469.4896667,840.5576,686.7686,0.103152549,slide14_10x.2,Y2019,430.001,12,358.482,0.833677131,388.011,8,314.075,0.809448701
yg,37.X.2.2015,37,17,595.8913333,1023.4134,765.0946,0.097277271,slide17_10x.1,Y2019,560.038,17,518.226,0.92534078,573.778,17,532.37,0.927832716
yg,37.X.2.2015,37,17,649.876,949.3154,656.467,0.080781077,slide17_10x.2,Y2019,609.477,16,503.333,0.825844125,598.443,16,523.648,0.875017337
yg,37.X.6.2015,37,18,526.388,1038.6044,763.5996,0.097864318,slide18_10x.1,Y2019,494.38,12,465.123,0.940820826,499.979,14,482.799,0.965638557
yg,37.X.6.2015,37,18,640.2133333,920.502,856.8488,0.093460328,slide18_10x.2,Y2019,595.478,15,538.779,0.904784056,606.383,17,549.555,0.906283652
yg,13.1.4.2016,13,2,716.277,1230.9268,965.5192,0.070688262,slide2_10x.1,Y2019,657.056,12,563.76,0.858009059,704.571,16,630.957,0.895519401
yg,13.1.4.2016,13,2,935.951,1545.477,1023.309,0.087739211,slide2_10x.2,Y2019,883.771,19,838.443,0.948710695,881.194,18,740.566,0.840411986
yg,48.2.1.2015,48,20,443.9103333,1357.663,840.7842,0.152764657,slide20_10x.1,Y2019,441.211,8,324.224,0.734850219,404.571,11,338.339,0.836290787
yg,48.2.1.2015,48,20,677.0206667,1111.0396,757.8852,0.107671036,slide20_10x.2,Y2019,607.109,15,508.073,0.836872786,636.901,13,503.356,0.790320631
yg,48.2.0.2014,48,21,583.3686667,714.293,857.1214,0.068992404,slide21_10x.1,Y2019,555.048,13,555.048,1,537.009,13,445.905,0.830349212
yg,48.2.0.2014,48,21,742.0866667,937.1864,638.8406,0.048993081,slide21_10x.2,Y2019,705.43,17,650.389,0.921975249,,,,
yg,46.1.2.2015,46,22,468.836,567.1296,601.5626,0.099320012,slide22_10x.1,Y2019,442.692,12,383.608,0.866534747,415.134,11,362.548,0.873327648
yg,46.1.2.2015,46,22,566.222,951.2498,752.9014,0.09623263,slide22_10x.2,Y2019,530.346,16,499.307,0.941474057,542.448,13,460.598,0.849109961
yg,46.1.1.2015,46,23,617.8843333,824.9356,667.4518,0.096357693,slide23_10x.1,Y2019,558.833,15,469.536,0.840208076,596.197,16,422.377,0.708452072
yg,46.1.1.2015,46,23,469.2573333,780.6954,546.8752,0.119408356,slide23_10x.2,Y2019,440.348,12,411.492,0.93447001,427.974,13,366.201,0.855661793
yg,36.1.4.2016,36,25,572.023,996.3348,662.7604,0.153886826,slide25_10x.1,Y2019,569.483,12,454.068,0.797333722,500.098,13,453.468,0.906758275
yg,36.1.4.2016,36,25,648.253,838.8962,943.786,0.078869877,slide25_10x.2,Y2019,602.125,16,520.798,0.864933361,,,,
yg,36.1.8.2016,36,27,638.9836667,963.2766,796.272,0.100603446,slide27_10x.1,Y2019,611.241,15,560.988,0.917785293,600.197,16,543.882,0.906172473
yg,36.1.8.2016,36,27,591.72,898.507,965.136,0.106683122,slide27_10x.2,Y2019,529.237,13,416.047,0.786126065,517.885,13,475.639,0.918425905
yg,16.X.2.2016,16,28,637.1506667,732.3736,725.381,0.102903457,slide28_10x.1,Y2019,577.981,13,498.81,0.863021449,621.659,15,495.645,0.797294015
yg,16.X.2.2016,16,28,572.9306667,704.7216,573.423,0.109960951,slide28_10x.2,Y2019,508.542,10,356.769,0.701552674,506.996,13,437.749,0.863417068
yg,16.X.7.2016,16,29,562.6283333,738.3776,552.9514,0.085186116,slide29_10x.1,Y2019,528.647,13,476.271,0.900924435,545.882,13,423.477,0.775766558
yg,16.X.7.2016,16,29,602.448,807.8504,577.9608,0.133295646,slide29_10x.2,Y2019,543.887,11,486.08,0.893715055,575.128,13,516.205,0.897548024
yg,56.2.1.2017,56,31,703.554,1111.304,571.8558,0.130680147,slide31_10x.1,Y2019,667.823,13,571.822,0.856247838,667.657,16,623.01,0.933128837
yg,56.2.1.2017,56,31,683.9203333,925.9324,727.187,0.113184036,slide31_10x.2,Y2019,632.017,14,550.702,0.871340486,649.942,15,564.497,0.868534423
yg,56.1.2.2016,56,32,836.1183333,968.8946,859.978,0.146712548,slide32_10x.1,Y2019,784.033,17,690.792,0.881075159,,,,
yg,56.1.2.2016,56,32,669.8806667,725.8482,776.9294,0.153960468,slide32_10x.2,Y2019,636.669,12,514.454,0.808039971,633.251,13,555.507,0.877230356
yg,52.1.1.2015,52,34,575.543,785.856,570.968,0.083488788,slide34_10x.1,Y2019,511.983,16,441.336,0.862012997,441.336,15,408.121,0.924739881
yg,52.1.1.2015,52,34,519.0706667,782.4556,753.8822,0.157728168,slide34_10x.2,Y2019,481.256,13,329.737,0.68515925,488.276,12,371.253,0.760334319
yg,52.1.2.2016,52,36,647.309,609.5196,906.467,0.172837827,slide36_10x.1,Y2019,606.788,12,506.745,0.835126931,633.283,16,595.51,0.940353681
yg,52.1.2.2016,52,36,460.278,720.8638,426.3542,0.128973175,slide36_10x.2,Y2019,408.058,12,352.743,0.86444329,387.506,9,341.753,0.88192957
yg,Eudy1,99,38,524.8546667,737.1058,683.8922,0.106308822,slide38_10x.1,Y2019,484.627,10,379.824,0.783745025,448.706,11,382.678,0.852847967
yg,Eudy1,99,38,651.943,915.895,770.2546,0.094122834,slide38_10x.2,Y2019,606.226,15,511.409,0.843594633,643.42,17,523.943,0.814309471
yg,Eudy2,99,39,511.3593333,684.413,618.429,0.069878372,slide39_10x.1,Y2019,466.483,12,412.516,0.884310897,462.615,15,384.87,0.831944489
yg,Eudy2,99,39,617.9563333,745.6356,710.2142,0.098793522,slide39_10x.2,Y2019,583.482,11,501.375,0.859281006,575.623,14,500.968,0.870305738
yg,G.0.2.2015,98,4,827.9013333,916.4256,404.8034,0.140186962,slide4_10x.1,Y2019,839.064,19,772.192,0.920301669,865.715,21,757.255,0.874716275
yg,G.0.2.2015,98,4,805.7053,890.845,781.6406,0.18837962,slide4_10x.2,Y2019,,,,,,,,
yg,G.0.2.2015,98,5,630.2356667,688.2318,639.8782,0.060558181,slide5_10x.1,Y2019,576.976,15,544.334,0.943425723,586.086,16,490.247,0.836476217
yg,G.0.2.2015,98,5,711.8653333,799.865,614.3904,0.152949393,slide5_5x,Y2019,,,,,,,,
yg,53.2.3.2015,53,7,582.9473333,663.4356,613.0644,0.167532004,slide7_10x.1,Y2019,497.23,11,349.629,0.70315347,540.669,10,408.733,0.755976392
yg,53.2.3.2015,53,7,755.2306667,1141.3656,833.5648,0.080447828,slide7_10x.2,Y2019,700.701,13,525.16,0.749478023,,,,
yg,53.2.5.2015,53,8,690.8,933.425,703.318,0.104603065,slide8_10x.1,Y2019,679.579,13,596.965,0.87843356,691.469,14,648.854,0.938370339
yg,53.2.5.2015,53,8,830.0656667,1321.5184,1235.846,0.094206991,slide8_10x.2,Y2019,770.892,15,584.496,0.758207375,,,,
yf,4.1.0.2013,4,1,429.102,320.4788,406.229,,1.1,Y2015,,,,,,,,
yf,4.1.0.2013,4,1,494.198,352.8892,450.0902,0.22253211,1.2,Y2015,422.393,6,235.022,0.556406001,455.613,12,360.529,0.79130534
yf,4.1.0.2013,4,1,625.3215,437.4844,352.3996,0.269536288,1.3,Y2015,643.418,21,558.443,0.867931889,650.802,15,484.213,0.744025064
yf,4.2.0.2013,4,2,489.712,566.7776,562.2744,0.356894387,2.1,Y2015,467.616,14,300.649,0.642939934,461.137,12,305.033,0.661480211
yf,4.2.0.2013,4,2,506.872,731.9284,705.7918,0.287319184,2.2,Y2015,460.39,14,364.854,0.792488977,443.008,10,219.757,0.496056505
yf,27.1.0.2013,27,3,350.4425,518.8348,455.8802,0.213454742,3.1,Y2015,322.079,9,242.046,0.751511275,302.288,8,163.823,0.541943445
yf,27.1.0.2013,27,3,487.342,738.8116,790.9916,0.157873416,3.2,Y2015,438.621,13,327.859,0.747476751,416.461,9,370.701,0.890121764
yf,27.1.0.2013,27,3,394.9375,525.727,617.9292,0.166962209,3.3,Y2015,342.683,12,182.233,0.531783018,356.89,10,183.975,0.51549497
yf,27.2.0.2013,27,4,319.56,713.4108,524.7626,,4.1,Y2015,,,,,,,,
yg,1AB.1.0.2012,1A,5,961.7665,1054.3778,916.1362,,5.1,Y2015,,,,,,,,
yg,1AB.1.0.2012,1A,5,733.1785,959.877,801.1882,0.121968023,5.2,Y2015,2314.342,19,2155.321,0.931288893,2330.541,15,2119.589,0.909483678
yg,1AB.2.0.2012,1B,6,590.274,974.103,895.502,0.136205575,6.1,Y2015,574.582,14,421.361,0.733334842,579.202,14,432.228,0.746247423
yg,1AB.2.0.2012,1B,6,612.907,910.2454,973.4976,0.117318445,6.2,Y2015,582.309,14,480.075,0.824433419,581.322,14,453.423,0.779985963
ya,23.1.0.2013,23,7,1123.816,2189.6432,1821.9672,0.111951243,7.1,Y2015,1131.432,20,931.236,0.823059627,1134.711,21,893.156,0.787122007
ya,23.1.0.2013,23,7,1573.2585,1851.4698,999.7998,,7.2,Y2015,,,,,,,,
ya,23.1.0.2013,23,7,1282.1535,1731.6752,1317.6982,0.141341572,7.3,Y2015,1262.937,22,1044.108,0.826730074,1291.366,20,967.436,0.749157094
ya,23.2.0.2013,23,8,1375.7275,2883.777,2523.9198,0.097014907,8.1,Y2015,1342.134,19,1016.952,0.757712717,1313.222,21,1002.635,0.763492387
ya,23.2.0.2013,23,8,1896.585,3008.7304,3154.629,,8.2,Y2015,,,,,,,,
yg,13.1.0.2013,13,10,919.6795,1782.5038,1385.513,0.0779922,10.1,Y2015,960.148,19,678.406,0.706563988,941.2,20,875.536,0.930233744
yg,13.1.0.2013,13,10,851.579,1820.3848,1611.129,0.137235909,10.2,Y2015,853.728,19,853.728,1,821.28,17,735.807,0.895927089
yg,20.1.0.2013,20,11,590.5035,790.1758,823.4904,0.118961719,11.1,Y2015,537.287,,453.007,0.843137839,527.779,11,361.954,0.685805991
yg,20.1.0.2013,20,11,552.2075,556.291,749.5812,0.082203158,11.2,Y2015,526.154,18,526.154,1,505.827,14,408.411,0.807412416
yg,20.1.0.2013,20,11,919.8395,543.5626,562.2106,,11.3,Y2015,,,,,,,,
yg,20.2.0.2013,20,12,526.247,1008.0182,782.7966,0.147578803,12.1,Y2015,504.968,15,431.047,0.853612506,508.771,14,470.923,0.925608967
yg,20.2.0.2013,20,12,755.807,1118.3448,959.2016,0.107086396,12.2,Y2015,699.247,18,654.847,0.936503124,709.638,19,626.406,0.882712031
yg,20.2.0.2013,20,12,919.079,1161.7382,1155.722,,12.3,Y2015,,,,,,,,
ya,7.1.0.2013,7,13,838.601,1789.068,1880.4094,0.174670158,13.1,Y2015,841.819,14,668.854,0.794534217,857.435,17,749.442,0.874051094
ya,7.1.0.2013,7,13,1393.378,2241.7512,1068.9066,0.139919475,13.2,Y2015,1360.402,28,1041.091,0.76528188,1411.895,29,1131.47,0.801383956
ya,7.1.0.2013,7,13,992.407,1929.381,1605.8122,,13.3,Y2015,,,,,,,,
ya,7.2.0.2013,7,14,982.614,2146.1156,1251.7724,0.203226439,14.1,Y2015,687.198,17,557.821,0.811732572,662.782,18,561.713,0.847507929
ya,7.2.0.2013,7,14,1093.474,1957.84,1936.2662,,14.2,Y2015,,,,,,,,
yf,2.2.0.2013,2,15,361.4115,355.5232,387.6394,0.304534759,15.1,Y2015,339.2,9,270.725,0.798127948,322.132,7,224.303,0.696307725
yf,2.2.0.2013,2,15,504.081,314.5218,460.6182,0.243250678,15.2,Y2015,444.961,13,294.128,0.66101973,462.805,14,295.295,0.638054904
yf,2.2.0.2013,2,15,565.071,579.1018,492.6482,,15.3,Y2015,,,,,,,,
yf,2.1.0.2013,2,16,,,,,16.1,Y2015,,,,,,,,
yf,2.1.0.2013,2,16,,,,,16.2,Y2015,650.629,17,463.235,0.711980253,0,0,0,0
yf,2.1.0.2013,2,16,486.1985,1313.834,1328.7048,0.32082016,16.3,Y2015,391.485,13,282.984,0.722847619,419.55,9,210.718,0.502247646
yg,19.1.0.2013,19,18,719.9875,1311.825,996.2384,0.159275425,18.1,Y2015,659.849,19,632.759,0.958945153,659.79,18,553.203,0.838453144
yg,19.1.0.2013,19,18,894.503,993.2024,1231.1604,,18.2,Y2015,,,,,,,,
yg,19.1.0.2013,19,18,651.5245,1238.3988,710.45,0.168583713,18.3,Y2015,608.816,16,511.097,0.839493377,599.379,14,481.754,0.80375522
yg,18.1.0.2013,18,19,536.7395,792.2858,533.1806,0.127955476,19.1,Y2015,551.627,14,457.819,0.829943059,545.613,11,399.05,0.731379201
yg,18.1.0.2013,18,19,1290.779,577.8842,496.1306,,19.2,Y2015,,,,,,,,
yg,18.1.0.2013,18,19,808.448,567.9976,403.3324,,19.3,Y2015,,,,,,,,
yg,18.2.0.2013,18,20,516.183,1103.2986,866.898,0.091695222,20.1,Y2015,512.442,14,448.775,0.875757647,546.176,19,519.558,0.951264794
yg,18.2.0.2013,18,20,478.6115,917.2004,933.3782,0.101621439,20.2,Y2015,418.125,11,376.298,0.899965321,439.709,13,377.838,0.859291031
yg,15.1.0.2013,15,21,895.0635,1544.8478,1546.3928,,21.1,Y2015,,,,,,,,
yg,15.1.0.2013,15,21,648.8845,1478.758,1432.8702,0.317967714,21.2,Y2015,830.036,13,533.237,0.642426353,803.284,17,658.464,0.81971507
yg,12.1.0.2013,12,22,639.3475,858.526,979.1188,0.171651765,22.1,Y2015,583.194,13,437.96,0.750967945,614.672,14,491.814,0.800124294
yg,12.1.0.2013,12,22,654.8505,1006.9438,1037.2792,0.251452102,22.2,Y2015,658.136,11,408.074,0.620045097,649.764,13,489.848,0.753886026
yg,12.1.0.2013,12,22,823.379,1863.5976,1788.167,,22.3,Y2015,,,,,,,,
yg,12.2.0.2013,12,23,666.1355,1273.6266,1545.3986,0.156954383,23.1,Y2015,623.138,13,382.413,0.613689103,637.286,12,427.996,0.671591719
yg,12.2.0.2013,12,23,769.6905,1603.5882,1156.5396,0.170754249,23.2,Y2015,700.953,14,465.033,0.663429645,,,,
yg,13.2.0.2013,12,23,554.026,797.9594,542.6482,,23.3,Y2015,,,,,,,,
yf,22.2.0.2013,22,24,552.8075,834.3956,794.2546,0.383566272,24.1,Y2015,555.286,10,333.431,0.600467147,518.312,8,221.373,0.427103752
yf,22.2.0.2013,22,24,691.891,763.0208,629.0508,,24.2,Y2015,,,,,,,,
yf,22.2.0.2013,22,24,618.317,946.5066,666.2974,0.337339023,24.3,Y2015,565.566,13,367.334,0.649498025,539.459,13,347.261,0.643720839
yf,22.1.0.2013,22,25,568.939,745.4802,517.2268,0.299047268,25.1,Y2015,543.99,12,325.025,0.59748341,528.014,15,360.347,0.682457283
yf,22.1.0.2013,22,25,602.188,690.3292,617.2484,0.368003126,25.2,Y2015,522.225,12,276.379,0.529233568,568.802,12,295.663,0.519799508
yf,22.1.0.2013,22,25,,,,,25.3,Y2015,,,,,,,,
yg,14.1.0.2013,14,26,683.569,924.8454,844.1548,0.19857203,26.1,Y2015,648.558,13,472.385,0.728361997,671.21,15,506.745,0.754972363
yg,14.1.0.2013,14,26,525.6555,734.6292,679.545,0.195045664,26.2,Y2015,492.445,11,380.497,0.772669029,506.968,11,381.766,0.753037667
yg,14.1.0.2013,14,26,666.2415,1116.5334,645.6888,,26.3,Y2015,,,,,,,,
ya,6.2.0.2013,6,28,1021.595,1957.585,1270.327,0.041189681,28.1,Y2015,882.377,18,809.189,0.917055862,908.305,17,729.647,0.803306158
ya,6.2.0.2013,6,28,1481.3225,1913.9998,1809.8832,0.160356134,28.2,Y2015,1465.454,20,912.646,0.622773557,1396.612,25,1040.817,0.745244205
ya,6.2.0.2013,6,28,1724.3295,3939.4,4846.2,,28.3,Y2015,,,,,,,,
ya,6.1.0.2013,6,29,,,,0.187377266,29.1,Y2015,1448.512,25,1162.986,0.802883235,1341.139,22,1251.376,0.933069577
yg,17.1.0.2013,17,30,766.4715,1746.129,1304.133,0.177405009,30.1,Y2015,754.049,13,682.209,0.904727677,794.707,12,580.734,0.73075234
yg,17.1.0.2013,17,30,1079.4475,2091.7594,1326.3046,,30.2,Y2015,,,,,,,,
yg,17.1.0.2013,17,30,901.497,1388.4958,1088.0652,0.191601128,30.3,Y2015,737.777,14,477.339,0.646996315,786.034,16,552.644,0.703079002
yg,17.2.0.2013,17,31,718.268,1285.4938,844.0394,,31.1,Y2015,,,,,,,,
yg,17.2.0.2013,17,31,1011.1785,1304.977,1020.6404,0.112659069,31.2,Y2015,1058.056,20,937.455,0.88601643,1030.177,20,941.409,0.913832283
yg,17.2.0.2013,17,31,1091.004,1780.1922,1040.7928,0.142236514,31.3,Y2015,876.146,17,793.524,0.905698365,941.196,16,798.893,0.8488062
yf,9.2.0.2013,9,32,478.14,834.8446,862.9404,0.278891608,32.1,Y2015,411.498,10,236.459,0.574629767,407.541,10,224.347,0.550489399
yf,9.2.0.2013,9,32,546.0115,884.92,771.677,0.209913089,32.2,Y2015,526.206,11,287.651,0.546650931,533.456,16,436.02,0.81734951
yf,9.2.0.2013,9,32,493.7395,723.3916,812.6192,,32.3,Y2015,,,,,,,,
yf,9.1.0.2013,9,33,462.738,531.76,692.5098,0.307249062,33.1,Y2015,423.648,11,297.472,0.702167837,446.021,9,253.734,0.568883528
yf,9.1.0.2013,9,33,497.616,1011.4942,536.3984,0.217909748,33.2,Y2015,481.998,11,281.041,0.583075034,489.593,11,396.725,0.810315915
yf,9.1.0.2013,9,33,601.0135,909.778,702.9334,,33.3,Y2015,,,,,,,,
yg,2AB.1.0.2012,2A,34,634.513,1052.7808,852.0486,0.161465375,34.1,Y2015,594.349,11,443.002,0.745356684,582.865,16,543.113,0.931798959
yg,2AB.1.0.2012,2A,34,735.056,1012.7764,768.171,0.131088104,34.2,Y2015,688.376,18,634.093,0.921143387,670.029,13,492.957,0.735724872
yg,2AB.1.0.2012,2A,34,981.0245,684.437,518.21,,34.3,Y2015,,,,,,,,
yg,2AB.2.0.2012,2B,35,593.5775,833.3844,641.7484,0.222816453,35.1,Y2015,780.872,17,550.189,0.704582825,764.536,19,613.233,0.802098266
yg,2AB.2.0.2012,2B,35,700.443,931.6488,691.9338,,35.2,Y2015,,,,,,,,
yg,2AB.2.0.2012,2B,35,883.7825,911.925,677.9352,0.259035351,35.3,Y2015,704.392,17,568.888,0.807629842,696.003,14,506.673,0.72797531
ya,24.2.0.2013,24,36,1331.124,2357.8426,2750.214,,36.1,Y2015,,,,,,,,
ya,24.2.0.2013,24,36,1618.616,2274.7206,2765.755,0.172818222,36.2,Y2015,1639.52,26,1448.021,0.883198131,1533.177,27,1266.466,0.826040307
ya,24.2.0.2013,24,36,1625.5675,2979.263,2489.8726,0.078497224,36.3,Y2015,1317.267,23,1156.041,0.877605679,1218.963,19,1100.54,0.902849389
ya,24.1.0.2013,24,37,1243.821,1706.1298,2091.3058,0.076002737,37.1,Y2015,1296.839,22,1162.726,0.896584696,1280.221,22,1280.221,1
ya,24.1.0.2013,24,37,1072.265,1831.4534,1581.8614,0.074251701,37.2,Y2015,1114.028,17,943.095,0.846563103,1041.219,20,1027.352,0.986681956
yf,1.1.0.2013,1,38,784.3695,1520.2172,1256.1994,0.26763162,38.1,Y2015,576.765,12,406.465,0.70473243,609.088,12,418.748,0.6875
yf,1.1.0.2013,1,38,734.4785,1097.1006,1048.8398,0.239168898,38.2,Y2015,553.4,12,386.321,0.698086375,583.003,14,517.629,0.887866786
yf,1.1.0.2013,1,38,592.683,1269.3866,921.0068,,38.3,Y2015,,,,,,,,
yf,1.3,1,39,406.673,322.8696,183.4736,0.236892091,39.1,Y2015,584.724,13,398.942,0.68227403,604.294,14,480.621,0.795342995
yf,1.3,1,39,464.092,278.7638,293.525,,39.2,Y2015,,,,,,,,
yf,1.3,1,39,441.973,484.6366,255.4434,0.347161191,39.3,Y2015,513.033,9,264.46,0.515483409,513.117,15,425.424,0.829097457
yf,30.1.0.2013,30,40,509.9425,682.099,861.497,0.291861689,40.1,Y2015,581.683,17,441.228,0.758536866,522.955,13,337.61,0.64558136
yf,30.1.0.2013,30,40,729.9345,598.9584,744.888,0.1797758,40.2,Y2015,340.714,9,246.695,0.724053018,319.299,7,167.856,0.525701615
yf,30.1.0.2013,30,40,494.9965,603.5916,720.9898,,40.3,Y2015,,,,,,,,
yf,30.2.0.2013,30,41,564.1285,677.9514,537.061,0.340065137,41.1,Y2015,473.601,11,293.171,0.619025298,454.163,11,291.854,0.6426195
yf,30.2.0.2013,30,41,627.74,795.8102,480.3202,0.208711433,41.2,Y2015,607.586,12,331.814,0.546118574,595.437,14,411.217,0.690613784
yf,30.2.0.2013,30,41,510.8905,760.768,523.429,,41.3,Y2015,,,,,,,,
yg,51.1.0.2014,51,,600.8766667,1097.34,1008.8928,0.181928495,1.1,Y2019.2,568.253,12,423.622,0.745481326,545.599,10,401.783,0.736407142
yg,51.1.0.2014,51,,679.6806667,1143.8072,662.394,0.169410632,1.2,Y2019.2,657.071,14,487.527,0.741970046,634.326,14,498.996,0.786655442
yg,51.2.2.2015,51,,578.346,691.7958,595.978,0.092263317,2.1,Y2019.2,565.873,19,492.61,0.87053102,544.757,16,483.88,0.888249256
yg,51.2.2.2015,51,,,761.8172,547.0278,0.131666982,2.2,Y2019.2,602.007,19,478.512,0.794861189,576.946,19,439.487,0.7617472
yg,55.2.1.2016,55,,559.9023333,798.1495,551.1136,0.071091122,3.1,Y2019.2,,,,,,,,
yg,55.2.1.2016,55,,475.3083333,791.54,589.549,0.078426221,3.2,Y2019.2,461.6,14,421.796,0.913769497,505.976,14,377.854,0.746782456
yg,61.2.2.2016,61,,519.201,763.419,720.477,0.133921491,5.1,Y2019.2,453.943,12,404.275,0.890585382,,,,
yg,70.1.0.2015,70,,643.739,730.15125,561.3684,0.111912985,7.1,Y2019.2,599.668,16,525.686,0.876628401,596.884,15,541.188,0.906688737
yg,70.1.0.2015,70,,596.2396667,762.7782,596.539,0.16619996,7.2,Y2019.2,554.903,15,446.329,0.804336974,573.157,15,468.412,0.817249026
yg,70.1.2.2016,70,,658.8226667,708.0596,436.6286,0.21825325,8.1,Y2019.2,624.921,20,513.233,0.821276609,617.042,17,377.129,0.611188541
yg,70.1.2.2016,70,,665.2143333,762.8584,416.4398,0.262191432,8.2,Y2019.2,627.236,20,477.567,0.761383275,,,,
